model_name,model_source,accuracy_mean,latency_mean_s,speed_mean,overall_mean,attempts,failures,failure_rate
qwen2.5-coder:latest,pretrained,0.8151,48.6771,0.4059,0.7332,12,0,0.0
qwen2.5:latest,pretrained,0.8387,28.3488,0.5605,0.783,12,0,0.0
