model_name,model_source,task,n_runs,accuracy_mean,accuracy_std,latency_mean_s,tokens_per_s_mean,speed_mean,overall_mean
qwen2.5:latest,pretrained,test_cases,3,0.8448,0.0299,72.6333,25.9307,0.4457,0.765
qwen2.5:latest,pretrained,test_plan,18,0.7493,0.0534,15.0424,62.0935,0.5773,0.7149
